text,label,bert_prediction,variety,source
"Over season the chips, cook the chicken to within an inch of its life, no dressing on the salad all with the hope of you buying another drink. Which turns out to be off. This venue was recommended to me by multiple people on multiple occasions turns out Townsville really does n't have a food scene. There is a really good fish tank featuring the full cast of Nemo( 2003) and service from staff was pretty good would recommend that bit.",1,0,en-AU,Google
"I see that Google has stepped up( finally) and started removing networking WhatsApp paid reviews, showing us the true ratings. Heavy butter( to the point you feel gross after a pizza), flavor salts and curry scents in everything. Italian Bolognese should not taste like that. It's not' offensive' and it's still good but yeah... Not intended when ordering Smokin' Joe. Anything grilled comes in a burnt cheese casing. U guyz all gud ?",1,0,en-AU,Google
Many years since I eaten KFC. Had a need to get a quick take away lunch. Bought two extra hot chicken pieces and two medium fries. The chicken was terrible. Dry and tasteless. Fries were just soggy chips. I since looked online and there are hundreds or more complaints about exactly what we were sold and across Australia not just Maroochydore. The chicken was so overcooked there was no fluid to be had and it seemed like all the liquid drained out of the chicken was poured onto the soggy horrible fries. Goodbye forever KFC your once enjoyable fried chicken is terrible.,1,0,en-AU,Google
"Chips half raw and no salt, chicken burger had three strips of lettuce so basically just a pattie in a bun",1,0,en-AU,Google
"Picked up some items on sunday afternoon. Of the two sausage rolls, one was completely dried out with a crunchy layer of meat on the bottom, the 2nd one was the opposite, it felt half cooked, the filling was wet and mushy. We also got a few small desserts to take to a friends, they were actually quite nice, especially the cheesecake tart. Lastly we got a sliced rye bread to take home, this also had issues. The whole loaf fell apart when trying to take a slice as the middle was still wet and gluggy. I do n't like slamming small business, but i also do n't like wasting money. Not sure what went wrong, but two thirds of what we bought was inedible.",1,0,en-AU,Google
"I try to only write reviews when the food and place is great. Sadly this is not the case with our experience at Frigg in Nerang. I review only in the hope that lessons are learnt as we really value having a local shop such as Frigg in our midst and the potential is there. The staff were friendly and cheerful... just what you need to start the day. There were few people in when we were but our wait for meals was long... 25mins ? THe tea came in a plunger set up but the plunger had been put down so the tea was weak as tap water. The poached eggs were badly over cooked. The "" toast "" was bread basically. The hash brown was miniscule and was cold. I mean we were not going to die but come on.... basic stuff I would think. We probably will return as I said we need places in Nerang. But I will be checking future reviews to ensure the issues I mention are not a recurring theme",1,0,en-AU,Google
Some of the workers do nt even say hi or anything at all during service. A smile and hello would nt hurt lads. Fuel is cheap tho and decent store goodies,1,0,en-AU,Google
"Food great as usual, but bloody hot inside do nt know how the gurls doit... 20 works burger chips drink pretty cool better than macrap burgers",1,0,en-AU,Google
"We used the app to order to save time, we ended up having to park & wait 15 mins... Then the so called Texan burger was the size of a cheeseburger.... So much for things being bigger in Texas... Not in Australia.... It was ridiculous.",1,0,en-AU,Google
"It's next to the fuel station, so potentially you could go to the petrol pump and then get out of the car to see this or to take photos. If you like all the big statue this beautiful country has to offer then worth visiting this place otherwise it's an average looking big cattle dog statue.",1,0,en-AU,Google
"Have been a Subway customer for many many years. This store's barely cutting it. The staff have pretty poor attitudes. They're rude, they argue with customers about how the customer wants their sandwich. They clearly do n't know nor have given much thought to how they make the product. Even though I live less than a minute from this store, more often than not, I will drive to Pialba or Torquay if I feel like a sub. I'll only go here if I can not afford the time. I was hoping when they did a refurb of the store recently they might take the opportunity to remedy the store failings, but clearly that did not happen.",1,0,en-AU,Google
"Love getting our subs from here as the staff is usually super nice and accommodating, but the one girl behind the counter this arvo was just the rudest. I understand that it might just be a temporary job to you, but if you do n't like people do n't work hospo maybe...",1,0,en-AU,Google
Great food considering it is Pizza. Staff are friendly. My only complaint is that they put anchovies as the last ingredient on the Capriciosa description which makes it unable to be read unless clicked on. Because of this I purchased a Pizza costing 22 and smelling of fish. I am unsure if I will ever get over it. lmao,1,0,en-AU,Google
Took hours for food to get ready and when I received it it had mould on the burger bun thanks guys,1,0,en-AU,Google
"Visited few times and found their food is really good! Though I believe the crew members must have worked in a jewel shop before, as they are carefully serving the food( in milligrams). Do not get surprised if you get just 3 tiny pieces of chicken for a 12 meal! Also, hygiene is absolutely shocking if you see the attached photos!",1,0,en-AU,Google
"Very disappointing. We expect Thai food to be full of very fresh ingredients and not reheated. The beans and broccoli were fresh but everything else canned, even the pineapple slice that was thrown into the duck. The chilli and basil beef stir fry had about two leaves of basil. The beef tasted like it had been recooked. Our dishes were swimming on an overabundance of sauce, more like soup. Service was quick. Gave us 10 mins to collect our order. It was already packed when we got there. This food was not fresh cooked.",1,0,en-AU,Google
Atmosphere around was good. Guy was very bossy. Did n't had avocado at Pm informed in last when everything was done. Did n't offered any alternate either. Was very Curious about touching their front desk he said it will come off if you touch haha. Funny but not pleasant experience.,1,0,en-AU,Google
"I think it's great that the staff have good team spirit.... But it would be nice( as a customer) to feel that same enthusiasm and appreciation. Cold fries, indifferent service and no' thank you' at the counter at food collection... 2 stars",1,0,en-AU,Google
I will never be returning after what happened today. I ordered a salad with nothing but lettuce and pickles( including no cutlery). Who would have thought that they completely ignored my request and gave me cutlery. I will still give them two stars due to the delicious fresh tasting salad.,1,0,en-AU,Google
"The location is good, the room was decent but the lounge is incredibly uncomfortable and on the last night that I was there the air conditioner stopped turning on. The main problem I have with this place is the card system. It is one of those card insert systems but sometimes it does n't register your card for at least 3-4 times. One time I tried 7 times. This is SO frustrating when you get into the elevator and while you are trying to use the card someone on one of the top floors calls the elevator and then you are stuck in it riding it, going all the way to the top, then picking up any others that have called the elevator on the way down. What should be a 20 second trip to level 3 ends up being a 3 min scenic tour of the entire building.",1,0,en-AU,Google
